trait_id	trait_name	protocol	level	held_out	train_n	n_callrate95	n_MAF05_nonmonomorphic	n_COMMON	COMMON_10K_feasible	COMMON_50K_feasible	COMMON_250K_feasible	COMMON_1M_feasible
705	CL	blocked	inner	outer3_inner2	543	3801523	1699221	417010	True	True	True	False
705	CL	blocked	inner	outer3_inner3	543	3596958	1695688	379380	True	True	True	False
705	CL	blocked	outer	4	724	3762011	1695125	397518	True	True	True	False
705	CL	blocked	inner	outer4_inner0	543	3809972	1699148	404556	True	True	True	False
705	CL	blocked	inner	outer4_inner1	543	3800555	1698019	407566	True	True	True	False
705	CL	blocked	inner	outer4_inner2	543	3731014	1698601	402139	True	True	True	False
705	CL	blocked	inner	outer4_inner3	543	3754688	1692224	387534	True	True	True	False
705	CL	iid	outer	0	723	3744831	1703932	409902	True	True	True	False
705	CL	iid	inner	outer0_inner0	542	3732910	1704143	410245	True	True	True	False
705	CL	iid	inner	outer0_inner1	542	3810453	1706709	420885	True	True	True	False
705	CL	iid	inner	outer0_inner2	542	3685099	1703400	402861	True	True	True	False
705	CL	iid	inner	outer0_inner3	543	3800677	1708854	418163	True	True	True	False
705	CL	iid	outer	1	723	3773468	1699080	400027	True	True	True	False
705	CL	iid	inner	outer1_inner0	542	3922742	1700784	423584	True	True	True	False
705	CL	iid	inner	outer1_inner1	542	3648382	1700348	383818	True	True	True	False
705	CL	iid	inner	outer1_inner2	542	3796056	1700756	407102	True	True	True	False
705	CL	iid	inner	outer1_inner3	543	3782017	1699903	399018	True	True	True	False
705	CL	iid	outer	2	723	3769440	1700219	401643	True	True	True	False
705	CL	iid	inner	outer2_inner0	542	3691255	1703663	400600	True	True	True	False
705	CL	iid	inner	outer2_inner1	542	3720006	1698504	396193	True	True	True	False
705	CL	iid	inner	outer2_inner2	542	3819094	1702441	411621	True	True	True	False
705	CL	iid	inner	outer2_inner3	543	3906609	1703482	411996	True	True	True	False
705	CL	iid	outer	3	723	3705801	1703086	398122	True	True	True	False
705	CL	iid	inner	outer3_inner0	542	3782995	1702492	410635	True	True	True	False
705	CL	iid	inner	outer3_inner1	542	3662815	1708909	399461	True	True	True	False
705	CL	iid	inner	outer3_inner2	542	3694105	1701768	391683	True	True	True	False
705	CL	iid	inner	outer3_inner3	543	3734255	1705178	403673	True	True	True	False
705	CL	iid	outer	4	724	3724176	1703256	399504	True	True	True	False
705	CL	iid	inner	outer4_inner0	543	3816127	1705393	415602	True	True	True	False
705	CL	iid	inner	outer4_inner1	543	3821845	1704232	410637	True	True	True	False
705	CL	iid	inner	outer4_inner2	543	3684714	1707531	395203	True	True	True	False
705	CL	iid	inner	outer4_inner3	543	3624364	1702493	388601	True	True	True	False
703	DTF1	logo	outer	admixed	808	3744589	1715113	406781	True	True	True	False
703	DTF1	logo	outer	asia	871	3828654	1702471	415234	True	True	True	False
703	DTF1	logo	outer	central_europe	767	3836534	1733349	433760	True	True	True	False
703	DTF1	logo	outer	germany	856	3679074	1719770	399465	True	True	True	False
703	DTF1	logo	outer	italy_balkan_caucasus	844	3945831	1726762	442709	True	True	True	False
703	DTF1	logo	outer	north_sweden	886	3750057	1695736	396542	True	True	True	False
